theory,basis,x,y,energy
pbe0,juldz2,1.90,2.05,25.370
pbe0,juldz2,1.90,2.10,25.874
pbe0,juldz2,1.90,2.15,25.876
pbe0,juldz2,1.90,2.20,25.476
pbe0,juldz2,1.90,2.25,24.873
pbe0,juldz2,1.90,2.30,24.215
pbe0,juldz2,1.90,2.35,23.462
pbe0,juldz2,1.90,2.40,22.607
pbe0,juldz2,1.90,2.45,21.823
pbe0,juldz2,1.90,2.50,21.161
pbe0,juldz2,1.90,2.55,20.639
pbe0,juldz2,1.90,2.60,19.584
pbe0,juldz2,1.90,2.65,18.505
pbe0,juldz2,1.90,2.70,17.731
pbe0,juldz2,1.90,2.75,17.172
pbe0,juldz2,1.90,2.80,16.822
pbe0,juldz2,1.90,2.85,16.680
pbe0,juldz2,1.90,2.90,16.740
pbe0,juldz2,1.90,2.95,16.979
pbe0,juldz2,1.90,3.00,17.374
pbe0,juldz2,1.95,1.95,26.621
pbe0,juldz2,1.95,2.00,27.615
pbe0,juldz2,1.95,2.05,28.074
pbe0,juldz2,1.95,2.10,27.884
pbe0,juldz2,1.95,2.15,27.146
pbe0,juldz2,1.95,2.20,26.165
pbe0,juldz2,1.95,2.25,25.148
pbe0,juldz2,1.95,2.30,24.180
pbe0,juldz2,1.95,2.35,23.189
pbe0,juldz2,1.95,2.40,22.201
pbe0,juldz2,1.95,2.45,21.301
pbe0,juldz2,1.95,2.50,20.534
pbe0,juldz2,1.95,2.55,19.909
pbe0,juldz2,1.95,2.60,19.126
pbe0,juldz2,1.95,2.65,18.104
pbe0,juldz2,1.95,2.70,17.273
pbe0,juldz2,1.95,2.75,16.684
pbe0,juldz2,1.95,2.80,16.296
pbe0,juldz2,1.95,2.85,16.104
pbe0,juldz2,1.95,2.90,16.103
pbe0,juldz2,1.95,2.95,16.273
pbe0,juldz2,1.95,3.00,16.597
pbe0,juldz2,2.00,2.00,30.577
pbe0,juldz2,2.00,2.05,30.292
pbe0,juldz2,2.00,2.10,29.236
pbe0,juldz2,2.00,2.15,27.852
pbe0,juldz2,2.00,2.20,26.435
pbe0,juldz2,2.00,2.25,25.097
pbe0,juldz2,2.00,2.30,23.879
pbe0,juldz2,2.00,2.35,22.726
pbe0,juldz2,2.00,2.40,21.632
pbe0,juldz2,2.00,2.45,20.649
pbe0,juldz2,2.00,2.50,19.797
pbe0,juldz2,2.00,2.55,19.094
pbe0,juldz2,2.00,2.60,18.424
pbe0,juldz2,2.00,2.65,17.632
pbe0,juldz2,2.00,2.70,16.736
pbe0,juldz2,2.00,2.75,16.114
pbe0,juldz2,2.00,2.80,15.690
pbe0,juldz2,2.00,2.85,15.451
pbe0,juldz2,2.00,2.90,15.394
pbe0,juldz2,2.00,2.95,15.501
pbe0,juldz2,2.00,3.00,15.755
pbe0,juldz2,2.05,2.05,31.800
pbe0,juldz2,2.05,2.10,30.013
pbe0,juldz2,2.05,2.15,28.166
pbe0,juldz2,2.05,2.20,26.419
pbe0,juldz2,2.05,2.25,24.823
pbe0,juldz2,2.05,2.30,23.398
pbe0,juldz2,2.05,2.35,22.112
pbe0,juldz2,2.05,2.40,20.934
pbe0,juldz2,2.05,2.45,19.885
pbe0,juldz2,2.05,2.50,18.968
pbe0,juldz2,2.05,2.55,18.200
pbe0,juldz2,2.05,2.60,17.545
pbe0,juldz2,2.05,2.65,16.882
pbe0,juldz2,2.05,2.70,16.216
pbe0,juldz2,2.05,2.75,15.465
pbe0,juldz2,2.05,2.80,15.007
pbe0,juldz2,2.05,2.85,14.728
pbe0,juldz2,2.05,2.90,14.618
pbe0,juldz2,2.05,2.95,14.664
pbe0,juldz2,2.05,3.00,14.855
pbe0,juldz2,2.10,2.10,30.423
pbe0,juldz2,2.10,2.15,28.230
pbe0,juldz2,2.10,2.20,26.211
pbe0,juldz2,2.10,2.25,24.401
pbe0,juldz2,2.10,2.30,22.800
pbe0,juldz2,2.10,2.35,21.383
pbe0,juldz2,2.10,2.40,20.139
pbe0,juldz2,2.10,2.45,19.039
pbe0,juldz2,2.10,2.50,18.069
pbe0,juldz2,2.10,2.55,17.248
pbe0,juldz2,2.10,2.60,16.567
pbe0,juldz2,2.10,2.65,15.955
pbe0,juldz2,2.10,2.70,15.405
pbe0,juldz2,2.10,2.75,14.850
pbe0,juldz2,2.10,2.80,14.261
pbe0,juldz2,2.10,2.85,13.944
pbe0,juldz2,2.10,2.90,13.787
pbe0,juldz2,2.10,2.95,13.780
pbe0,juldz2,2.10,3.00,13.912
pbe0,juldz2,2.15,2.15,28.136
pbe0,juldz2,2.15,2.20,25.893
pbe0,juldz2,2.15,2.25,23.899
pbe0,juldz2,2.15,2.30,22.140
pbe0,juldz2,2.15,2.35,20.603
pbe0,juldz2,2.15,2.40,19.281
pbe0,juldz2,2.15,2.45,18.136
pbe0,juldz2,2.15,2.50,17.131
pbe0,juldz2,2.15,2.55,16.264
pbe0,juldz2,2.15,2.60,15.548
pbe0,juldz2,2.15,2.65,14.949
pbe0,juldz2,2.15,2.70,14.440
pbe0,juldz2,2.15,2.75,14.012
pbe0,juldz2,2.15,2.80,13.483
pbe0,juldz2,2.15,2.85,13.115
pbe0,juldz2,2.15,2.90,12.921
pbe0,juldz2,2.15,2.95,12.866
pbe0,juldz2,2.15,3.00,12.941
pbe0,juldz2,2.20,2.20,25.529
pbe0,juldz2,2.20,2.25,23.364
pbe0,juldz2,2.20,2.30,21.463
pbe0,juldz2,2.20,2.35,19.814
pbe0,juldz2,2.20,2.40,18.403
pbe0,juldz2,2.20,2.45,17.205
pbe0,juldz2,2.20,2.50,16.173
pbe0,juldz2,2.20,2.55,15.270
pbe0,juldz2,2.20,2.60,14.517
pbe0,juldz2,2.20,2.65,13.906
pbe0,juldz2,2.20,2.70,13.401
pbe0,juldz2,2.20,2.75,13.018
pbe0,juldz2,2.20,2.80,12.711
pbe0,juldz2,2.20,2.85,12.259
pbe0,juldz2,2.20,2.90,12.031
pbe0,juldz2,2.20,2.95,11.940
pbe0,juldz2,2.20,3.00,11.962
pbe0,juldz2,2.25,2.20,25.152
pbe0,juldz2,2.25,2.25,22.831
pbe0,juldz2,2.25,2.30,20.802
pbe0,juldz2,2.25,2.35,19.045
pbe0,juldz2,2.25,2.40,17.543
pbe0,juldz2,2.25,2.45,16.277
pbe0,juldz2,2.25,2.50,15.206
pbe0,juldz2,2.25,2.55,14.285
pbe0,juldz2,2.25,2.60,13.497
pbe0,juldz2,2.25,2.65,12.858
pbe0,juldz2,2.25,2.70,12.347
pbe0,juldz2,2.25,2.75,11.959
pbe0,juldz2,2.25,2.80,11.694
pbe0,juldz2,2.25,2.85,11.497
pbe0,juldz2,2.25,2.90,11.127
pbe0,juldz2,2.25,2.95,11.010
pbe0,juldz2,2.25,3.00,10.991
pbe0,juldz2,2.30,2.25,22.327
pbe0,juldz2,2.30,2.30,20.176
pbe0,juldz2,2.30,2.35,18.313
pbe0,juldz2,2.30,2.40,16.725
pbe0,juldz2,2.30,2.45,15.384
pbe0,juldz2,2.30,2.50,14.260
pbe0,juldz2,2.30,2.55,13.315
pbe0,juldz2,2.30,2.60,12.500
pbe0,juldz2,2.30,2.65,11.827
pbe0,juldz2,2.30,2.70,11.300
pbe0,juldz2,2.30,2.75,10.897
pbe0,juldz2,2.30,2.80,10.626
pbe0,juldz2,2.30,2.85,10.468
pbe0,juldz2,2.30,2.90,10.368
pbe0,juldz2,2.30,2.95,10.073
pbe0,juldz2,2.30,3.00,10.034
pbe0,juldz2,2.35,2.30,19.600
pbe0,juldz2,2.35,2.35,17.636
pbe0,juldz2,2.35,2.40,15.960
pbe0,juldz2,2.35,2.45,14.544
pbe0,juldz2,2.35,2.50,13.360
pbe0,juldz2,2.35,2.55,12.373
pbe0,juldz2,2.35,2.60,11.536
pbe0,juldz2,2.35,2.65,10.834
pbe0,juldz2,2.35,2.70,10.274
pbe0,juldz2,2.35,2.75,9.858
pbe0,juldz2,2.35,2.80,9.564
pbe0,juldz2,2.35,2.85,9.398
pbe0,juldz2,2.35,2.90,9.336
pbe0,juldz2,2.35,2.95,9.318
pbe0,juldz2,2.35,3.00,9.090
pbe0,juldz2,2.40,2.35,17.023
pbe0,juldz2,2.40,2.40,15.260
pbe0,juldz2,2.40,2.45,13.768
pbe0,juldz2,2.40,2.50,12.522
pbe0,juldz2,2.40,2.55,11.484
pbe0,juldz2,2.40,2.60,10.619
pbe0,juldz2,2.40,2.65,9.885
pbe0,juldz2,2.40,2.70,9.296
pbe0,juldz2,2.40,2.75,8.849
pbe0,juldz2,2.40,2.80,8.533
pbe0,juldz2,2.40,2.85,8.343
pbe0,juldz2,2.40,2.90,8.270
pbe0,juldz2,2.40,2.95,8.290
pbe0,juldz2,2.40,3.00,8.349
pbe0,juldz2,2.45,2.40,14.635
pbe0,juldz2,2.45,2.45,13.069
pbe0,juldz2,2.45,2.50,11.755
pbe0,juldz2,2.45,2.55,10.664
pbe0,juldz2,2.45,2.60,9.760
pbe0,juldz2,2.45,2.65,8.997
pbe0,juldz2,2.45,2.70,8.372
pbe0,juldz2,2.45,2.75,7.893
pbe0,juldz2,2.45,2.80,7.549
pbe0,juldz2,2.45,2.85,7.331
pbe0,juldz2,2.45,2.90,7.230
pbe0,juldz2,2.45,2.95,7.234
pbe0,juldz2,2.45,3.00,7.323
pbe0,juldz2,2.50,2.45,12.451
pbe0,juldz2,2.50,2.50,11.070
pbe0,juldz2,2.50,2.55,9.922
pbe0,juldz2,2.50,2.60,8.970
pbe0,juldz2,2.50,2.65,8.177
pbe0,juldz2,2.50,2.70,7.519
pbe0,juldz2,2.50,2.75,7.003
pbe0,juldz2,2.50,2.80,6.626
pbe0,juldz2,2.50,2.85,6.379
pbe0,juldz2,2.50,2.90,6.240
pbe0,juldz2,2.50,2.95,6.217
pbe0,juldz2,2.50,3.00,6.287
pbe0,juldz2,2.55,2.45,11.918
pbe0,juldz2,2.55,2.50,10.473
pbe0,juldz2,2.55,2.55,9.264
pbe0,juldz2,2.55,2.60,8.261
pbe0,juldz2,2.55,2.65,7.433
pbe0,juldz2,2.55,2.70,6.741
pbe0,juldz2,2.55,2.75,6.187
pbe0,juldz2,2.55,2.80,5.774
pbe0,juldz2,2.55,2.85,5.489
pbe0,juldz2,2.55,2.90,5.323
pbe0,juldz2,2.55,2.95,5.262
pbe0,juldz2,2.55,3.00,5.298
pbe0,juldz2,2.60,2.50,9.965
pbe0,juldz2,2.60,2.55,8.696
pbe0,juldz2,2.60,2.60,7.640
pbe0,juldz2,2.60,2.65,6.766
pbe0,juldz2,2.60,2.70,6.042
pbe0,juldz2,2.60,2.75,5.453
pbe0,juldz2,2.60,2.80,5.003
pbe0,juldz2,2.60,2.85,4.682
pbe0,juldz2,2.60,2.90,4.477
pbe0,juldz2,2.60,2.95,4.382
pbe0,juldz2,2.60,3.00,4.383
pbe0,juldz2,2.65,2.55,8.219
pbe0,juldz2,2.65,2.60,7.110
pbe0,juldz2,2.65,2.65,6.187
pbe0,juldz2,2.65,2.70,5.427
pbe0,juldz2,2.65,2.75,4.803
pbe0,juldz2,2.65,2.80,4.314
pbe0,juldz2,2.65,2.85,3.954
pbe0,juldz2,2.65,2.90,3.711
pbe0,juldz2,2.65,2.95,3.576
pbe0,juldz2,2.65,3.00,3.542
pbe0,juldz2,2.70,2.60,6.671
pbe0,juldz2,2.70,2.65,5.699
pbe0,juldz2,2.70,2.70,4.897
pbe0,juldz2,2.70,2.75,4.238
pbe0,juldz2,2.70,2.80,3.712
pbe0,juldz2,2.70,2.85,3.313
pbe0,juldz2,2.70,2.90,3.034
pbe0,juldz2,2.70,2.95,2.858
pbe0,juldz2,2.70,3.00,2.780
pbe0,juldz2,2.75,2.60,6.321
pbe0,juldz2,2.75,2.65,5.303
pbe0,juldz2,2.75,2.70,4.456
pbe0,juldz2,2.75,2.75,3.758
pbe0,juldz2,2.75,2.80,3.197
pbe0,juldz2,2.75,2.85,2.762
pbe0,juldz2,2.75,2.90,2.442
pbe0,juldz2,2.75,2.95,2.229
pbe0,juldz2,2.75,3.00,2.112
pbe0,juldz2,2.80,2.65,4.994
pbe0,juldz2,2.80,2.70,4.104
pbe0,juldz2,2.80,2.75,3.367
pbe0,juldz2,2.80,2.80,2.767
pbe0,juldz2,2.80,2.85,2.292
pbe0,juldz2,2.80,2.90,1.933
pbe0,juldz2,2.80,2.95,1.684
pbe0,juldz2,2.80,3.00,1.528
pbe0,juldz2,2.85,2.70,3.835
pbe0,juldz2,2.85,2.75,3.060
pbe0,juldz2,2.85,2.80,2.422
pbe0,juldz2,2.85,2.85,1.909
pbe0,juldz2,2.85,2.90,1.511
pbe0,juldz2,2.85,2.95,1.220
pbe0,juldz2,2.85,3.00,1.025
pbe0,juldz2,2.90,2.75,2.832
pbe0,juldz2,2.90,2.80,2.157
pbe0,juldz2,2.90,2.85,1.606
pbe0,juldz2,2.90,2.90,1.171
pbe0,juldz2,2.90,2.95,0.838
pbe0,juldz2,2.90,3.00,0.603
pbe0,juldz2,2.95,2.75,2.681
pbe0,juldz2,2.95,2.80,1.969
pbe0,juldz2,2.95,2.85,1.384
pbe0,juldz2,2.95,2.90,0.908
pbe0,juldz2,2.95,2.95,0.539
pbe0,juldz2,2.95,3.00,0.261
pbe0,juldz2,3.00,2.80,1.854
pbe0,juldz2,3.00,2.85,1.232
pbe0,juldz2,3.00,2.90,0.723
pbe0,juldz2,3.00,2.95,0.315
pbe0,juldz2,3.00,3.00,0.000
pbe0_d3bj,juldz2,1.60,1.90,2.828
pbe0_d3bj,juldz2,1.60,1.95,5.175
pbe0_d3bj,juldz2,1.60,2.00,7.443
pbe0_d3bj,juldz2,1.60,2.05,9.614
pbe0_d3bj,juldz2,1.60,2.10,11.661
pbe0_d3bj,juldz2,1.60,2.15,13.562
pbe0_d3bj,juldz2,1.60,2.20,15.280
pbe0_d3bj,juldz2,1.60,2.25,16.755
pbe0_d3bj,juldz2,1.60,2.30,18.466
pbe0_d3bj,juldz2,1.60,2.35,19.403
pbe0_d3bj,juldz2,1.60,2.40,20.083
pbe0_d3bj,juldz2,1.60,2.45,21.599
pbe0_d3bj,juldz2,1.60,2.50,21.750
pbe0_d3bj,juldz2,1.60,2.55,21.876
pbe0_d3bj,juldz2,1.60,2.60,21.443
pbe0_d3bj,juldz2,1.60,2.65,20.069
pbe0_d3bj,juldz2,1.60,2.70,19.565
pbe0_d3bj,juldz2,1.60,2.75,19.283
pbe0_d3bj,juldz2,1.60,2.80,19.537
pbe0_d3bj,juldz2,1.60,2.85,19.975
pbe0_d3bj,juldz2,1.60,2.90,20.436
pbe0_d3bj,juldz2,1.60,2.95,20.808
pbe0_d3bj,juldz2,1.60,3.00,21.372
pbe0_d3bj,juldz2,1.65,1.90,4.487
pbe0_d3bj,juldz2,1.65,1.95,6.764
pbe0_d3bj,juldz2,1.65,2.00,8.950
pbe0_d3bj,juldz2,1.65,2.05,11.023
pbe0_d3bj,juldz2,1.65,2.10,12.957
pbe0_d3bj,juldz2,1.65,2.15,14.728
pbe0_d3bj,juldz2,1.65,2.20,16.310
pbe0_d3bj,juldz2,1.65,2.25,17.667
pbe0_d3bj,juldz2,1.65,2.30,18.964
pbe0_d3bj,juldz2,1.65,2.35,19.712
pbe0_d3bj,juldz2,1.65,2.40,20.191
pbe0_d3bj,juldz2,1.65,2.45,18.832
pbe0_d3bj,juldz2,1.65,2.50,21.569
pbe0_d3bj,juldz2,1.65,2.55,21.429
pbe0_d3bj,juldz2,1.65,2.60,20.561
pbe0_d3bj,juldz2,1.65,2.65,19.682
pbe0_d3bj,juldz2,1.65,2.70,19.025
pbe0_d3bj,juldz2,1.65,2.75,18.712
pbe0_d3bj,juldz2,1.65,2.80,18.720
pbe0_d3bj,juldz2,1.65,2.85,19.003
pbe0_d3bj,juldz2,1.65,2.90,19.531
pbe0_d3bj,juldz2,1.65,2.95,19.794
pbe0_d3bj,juldz2,1.65,3.00,20.282
pbe0_d3bj,juldz2,1.70,1.95,9.124
pbe0_d3bj,juldz2,1.70,2.00,11.206
pbe0_d3bj,juldz2,1.70,2.05,13.152
pbe0_d3bj,juldz2,1.70,2.10,14.936
pbe0_d3bj,juldz2,1.70,2.15,16.532
pbe0_d3bj,juldz2,1.70,2.20,17.918
pbe0_d3bj,juldz2,1.70,2.25,19.080
pbe0_d3bj,juldz2,1.70,2.30,19.965
pbe0_d3bj,juldz2,1.70,2.35,20.502
pbe0_d3bj,juldz2,1.70,2.40,19.497
pbe0_d3bj,juldz2,1.70,2.45,21.260
pbe0_d3bj,juldz2,1.70,2.50,21.365
pbe0_d3bj,juldz2,1.70,2.55,20.983
pbe0_d3bj,juldz2,1.70,2.60,20.072
pbe0_d3bj,juldz2,1.70,2.65,19.246
pbe0_d3bj,juldz2,1.70,2.70,18.623
pbe0_d3bj,juldz2,1.70,2.75,18.262
pbe0_d3bj,juldz2,1.70,2.80,18.182
pbe0_d3bj,juldz2,1.70,2.85,18.366
pbe0_d3bj,juldz2,1.70,2.90,18.793
pbe0_d3bj,juldz2,1.70,2.95,19.118
pbe0_d3bj,juldz2,1.70,3.00,19.524
pbe0_d3bj,juldz2,1.75,1.95,12.030
pbe0_d3bj,juldz2,1.75,2.00,13.977
pbe0_d3bj,juldz2,1.75,2.05,15.760
pbe0_d3bj,juldz2,1.75,2.10,17.347
pbe0_d3bj,juldz2,1.75,2.15,18.706
pbe0_d3bj,juldz2,1.75,2.20,19.808
pbe0_d3bj,juldz2,1.75,2.25,20.630
pbe0_d3bj,juldz2,1.75,2.30,21.167
pbe0_d3bj,juldz2,1.75,2.35,21.435
pbe0_d3bj,juldz2,1.75,2.40,21.560
pbe0_d3bj,juldz2,1.75,2.45,21.416
pbe0_d3bj,juldz2,1.75,2.50,21.293
pbe0_d3bj,juldz2,1.75,2.55,20.731
pbe0_d3bj,juldz2,1.75,2.60,19.781
pbe0_d3bj,juldz2,1.75,2.65,18.952
pbe0_d3bj,juldz2,1.75,2.70,18.323
pbe0_d3bj,juldz2,1.75,2.75,17.931
pbe0_d3bj,juldz2,1.75,2.80,17.791
pbe0_d3bj,juldz2,1.75,2.85,17.899
pbe0_d3bj,juldz2,1.75,2.90,18.241
pbe0_d3bj,juldz2,1.75,2.95,18.606
pbe0_d3bj,juldz2,1.75,3.00,18.934
pbe0_d3bj,juldz2,1.80,1.95,15.299
pbe0_d3bj,juldz2,1.80,2.00,17.079
pbe0_d3bj,juldz2,1.80,2.05,18.653
pbe0_d3bj,juldz2,1.80,2.10,19.977
pbe0_d3bj,juldz2,1.80,2.15,21.008
pbe0_d3bj,juldz2,1.80,2.20,21.721
pbe0_d3bj,juldz2,1.80,2.25,22.121
pbe0_d3bj,juldz2,1.80,2.30,22.259
pbe0_d3bj,juldz2,1.80,2.35,22.210
pbe0_d3bj,juldz2,1.80,2.40,21.814
pbe0_d3bj,juldz2,1.80,2.45,21.417
pbe0_d3bj,juldz2,1.80,2.50,21.101
pbe0_d3bj,juldz2,1.80,2.55,20.534
pbe0_d3bj,juldz2,1.80,2.60,19.552
pbe0_d3bj,juldz2,1.80,2.65,18.706
pbe0_d3bj,juldz2,1.80,2.70,18.060
pbe0_d3bj,juldz2,1.80,2.75,17.635
pbe0_d3bj,juldz2,1.80,2.80,17.443
pbe0_d3bj,juldz2,1.80,2.85,17.486
pbe0_d3bj,juldz2,1.80,2.90,17.750
pbe0_d3bj,juldz2,1.80,2.95,18.205
pbe0_d3bj,juldz2,1.80,3.00,18.394
pbe0_d3bj,juldz2,1.85,1.95,18.780
pbe0_d3bj,juldz2,1.85,2.00,20.350
pbe0_d3bj,juldz2,1.85,2.05,21.650
pbe0_d3bj,juldz2,1.85,2.10,22.617
pbe0_d3bj,juldz2,1.85,2.15,23.198
pbe0_d3bj,juldz2,1.85,2.20,23.391
pbe0_d3bj,juldz2,1.85,2.25,23.280
pbe0_d3bj,juldz2,1.85,2.30,22.996
pbe0_d3bj,juldz2,1.85,2.35,22.519
pbe0_d3bj,juldz2,1.85,2.40,21.838
pbe0_d3bj,juldz2,1.85,2.45,21.241
pbe0_d3bj,juldz2,1.85,2.50,20.767
pbe0_d3bj,juldz2,1.85,2.55,20.272
pbe0_d3bj,juldz2,1.85,2.60,19.294
pbe0_d3bj,juldz2,1.85,2.65,18.431
pbe0_d3bj,juldz2,1.85,2.70,17.763
pbe0_d3bj,juldz2,1.85,2.75,17.307
pbe0_d3bj,juldz2,1.85,2.80,17.068
pbe0_d3bj,juldz2,1.85,2.85,17.051
pbe0_d3bj,juldz2,1.85,2.90,17.246
pbe0_d3bj,juldz2,1.85,2.95,17.623
pbe0_d3bj,juldz2,1.85,3.00,17.826
pbe0_d3bj,juldz2,1.90,1.95,22.339
pbe0_d3bj,juldz2,1.90,2.00,23.638
pbe0_d3bj,juldz2,1.90,2.05,24.571
pbe0_d3bj,juldz2,1.90,2.10,25.036
pbe0_d3bj,juldz2,1.90,2.15,24.995
pbe0_d3bj,juldz2,1.90,2.20,24.564
pbe0_d3bj,juldz2,1.90,2.25,23.951
pbe0_d3bj,juldz2,1.90,2.30,23.300
pbe0_d3bj,juldz2,1.90,2.35,22.502
pbe0_d3bj,juldz2,1.90,2.40,21.633
pbe0_d3bj,juldz2,1.90,2.45,20.876
pbe0_d3bj,juldz2,1.90,2.50,20.267
pbe0_d3bj,juldz2,1.90,2.55,19.803
pbe0_d3bj,juldz2,1.90,2.60,18.937
pbe0_d3bj,juldz2,1.90,2.65,18.070
pbe0_d3bj,juldz2,1.90,2.70,17.384
pbe0_d3bj,juldz2,1.90,2.75,16.901
pbe0_d3bj,juldz2,1.90,2.80,16.620
pbe0_d3bj,juldz2,1.90,2.85,16.549
pbe0_d3bj,juldz2,1.90,2.90,16.678
pbe0_d3bj,juldz2,1.90,2.95,16.984
pbe0_d3bj,juldz2,1.90,3.00,17.439
